Sample Date,Test date,WRRF Name,WRRF Abbreviation,Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population),Annotation,"Population Served, estimated ",Technology
07/20/2021,,Port Richmond,PR,,,No sample delivery due to logistical issue,224516,RT-qPCR - N1
07/20/2021,07/21/2021,Red Hook,RH,4792.00,1700000.00,"No signal in 1 out of 3 RT-qPCR wells, result is obtained by averaging signal from the two remaining RT-qPCR wells",257556,RT-qPCR - N1
07/20/2021,,Rockaway,RK,,,No sample delivery due to logistical issue,117991,RT-qPCR - N1
07/20/2021,,Tallman Island,TI,,,No sample delivery due to logistical issue,457817,RT-qPCR - N1
07/20/2021,,Wards Island,WI,,,No sample delivery due to logistical issue,1173448,RT-qPCR - N1
07/25/2021,07/26/2021,26th Ward,26W,7658.00,6280000.00,,318262,RT-qPCR - N1
07/25/2021,07/26/2021,Bowery Bay,BB,4298.00,2710000.00,,894311,RT-qPCR - N1
07/25/2021,07/26/2021,Coney Island,CI,3097.00,1670000.00,This sample was analyzed in duplicate. The higher of the 2 results is reported,647635,RT-qPCR - N1
07/25/2021,07/26/2021,Hunts Point,HP,4194.00,3260000.00,,781885,RT-qPCR - N1
07/25/2021,07/26/2021,Jamaica Bay,JA,4586.00,2130000.00,,735054,RT-qPCR - N1
07/25/2021,07/26/2021,Newtown Creek,NC,10115.00,7020000.00,,1227810,RT-qPCR - N1
07/25/2021,07/26/2021,North River,NR,4184.00,3170000.00,,649549,RT-qPCR - N1
07/25/2021,07/26/2021,Oakwood Beach,OB,3356.00,1480000.00,,243910,RT-qPCR - N1
07/25/2021,07/26/2021,Owls Head,OH,6437.00,2340000.00,,923524,RT-qPCR - N1
07/25/2021,07/26/2021,Port Richmond,PR,2524.00,1270000.00,,224516,RT-qPCR - N1
07/25/2021,07/26/2021,Red Hook,RH,1466.00,669000.00,,257556,RT-qPCR - N1
07/25/2021,07/26/2021,Rockaway,RK,2006.00,1510000.00,,117991,RT-qPCR - N1
07/25/2021,07/26/2021,Tallman Island,TI,7534.00,4820000.00,,457817,RT-qPCR - N1
07/25/2021,07/26/2021,Wards Island,WI,2575.00,1570000.00,,1173448,RT-qPCR - N1
07/27/2021,07/28/2021,26th Ward,26W,,,Analytical issue,318262,RT-qPCR - N1
07/27/2021,07/28/2021,Bowery Bay,BB,,,Analytical issue,894311,RT-qPCR - N1
07/27/2021,07/28/2021,Coney Island,CI,,,Analytical issue,647635,RT-qPCR - N1
07/27/2021,07/28/2021,Hunts Point,HP,,,Analytical issue,781885,RT-qPCR - N1
07/27/2021,07/28/2021,Jamaica Bay,JA,,,Analytical issue,735054,RT-qPCR - N1
07/27/2021,08/02/2021,Newtown Creek,NC,6549.00,4290000.00,"Original RT-qPCR (7/28/2021) failed, RT-qPCR repeated",1227810,RT-qPCR - N1
07/27/2021,07/28/2021,North River,NR,,,Analytical issue,649549,RT-qPCR - N1
07/27/2021,08/02/2021,Oakwood Beach,OB,4596.00,1960000.00,"Original RT-qPCR (7/28/2021) failed, RT-qPCR repeated",243910,RT-qPCR - N1
07/27/2021,07/28/2021,Owls Head,OH,,,Analytical issue,923524,RT-qPCR - N1
07/27/2021,07/28/2021,Port Richmond,PR,,,Analytical issue,224516,RT-qPCR - N1
07/27/2021,07/28/2021,Red Hook,RH,,,Analytical issue,257556,RT-qPCR - N1
07/27/2021,07/28/2021,Rockaway,RK,,,Analytical issue,117991,RT-qPCR - N1
07/27/2021,07/28/2021,Tallman Island,TI,,,Analytical issue,457817,RT-qPCR - N1
07/27/2021,08/02/2021,Wards Island,WI,2738.00,1970000.00,"Original RT-qPCR (7/28/2021) failed, RT-qPCR repeated",1173448,RT-qPCR - N1
08/01/2021,08/02/2021,26th Ward,26W,5241.00,3550000.00,,318262,RT-qPCR - N1
08/01/2021,08/02/2021,Bowery Bay,BB,10955.00,4710000.00,,894311,RT-qPCR - N1
08/01/2021,08/02/2021,Coney Island,CI,5723.00,2510000.00,This sample was analyzed in duplicate. The higher of the 2 results is reported,647635,RT-qPCR - N1
08/01/2021,08/02/2021,Hunts Point,HP,4001.00,2480000.00,,781885,RT-qPCR - N1
08/01/2021,08/02/2021,Jamaica Bay,JA,22612.00,8690000.00,,735054,RT-qPCR - N1
08/01/2021,08/02/2021,Newtown Creek,NC,7232.00,4540000.00,,1227810,RT-qPCR - N1
08/01/2021,08/02/2021,North River,NR,4329.00,2510000.00,,649549,RT-qPCR - N1
08/01/2021,08/02/2021,Oakwood Beach,OB,9591.00,4010000.00,,243910,RT-qPCR - N1
08/01/2021,08/02/2021,Owls Head,OH,8982.00,3560000.00,,923524,RT-qPCR - N1
08/01/2021,08/02/2021,Port Richmond,PR,7465.00,3620000.00,,224516,RT-qPCR - N1
08/01/2021,08/02/2021,Red Hook,RH,4905.00,2070000.00,,257556,RT-qPCR - N1
08/01/2021,08/02/2021,Rockaway,RK,1718.00,1190000.00,,117991,RT-qPCR - N1
08/01/2021,08/02/2021,Tallman Island,TI,4968.00,2300000.00,,457817,RT-qPCR - N1
08/01/2021,08/02/2021,Wards Island,WI,4387.00,2520000.00,,1173448,RT-qPCR - N1
08/03/2021,08/04/2021,26th Ward,26W,8441.00,5060000.00,,318262,RT-qPCR - N1
08/03/2021,08/04/2021,Bowery Bay,BB,7739.00,2660000.00,,894311,RT-qPCR - N1
08/03/2021,08/04/2021,Coney Island,CI,7278.00,3030000.00,,647635,RT-qPCR - N1
08/03/2021,08/04/2021,Hunts Point,HP,7147.00,4190000.00,,781885,RT-qPCR - N1
08/03/2021,08/04/2021,Jamaica Bay,JA,13353.00,4930000.00,,735054,RT-qPCR - N1
08/03/2021,08/04/2021,Newtown Creek,NC,8656.00,4960000.00,,1227810,RT-qPCR - N1
08/03/2021,08/04/2021,North River,NR,2687.00,1510000.00,,649549,RT-qPCR - N1
08/03/2021,08/04/2021,Oakwood Beach,OB,6377.00,2610000.00,,243910,RT-qPCR - N1
08/03/2021,08/04/2021,Owls Head,OH,24263.00,8310000.00,,923524,RT-qPCR - N1
08/03/2021,08/04/2021,Port Richmond,PR,8895.00,3570000.00,,224516,RT-qPCR - N1
08/03/2021,08/04/2021,Red Hook,RH,6306.00,2340000.00,,257556,RT-qPCR - N1
08/03/2021,08/04/2021,Rockaway,RK,11166.00,7010000.00,This sample was analyzed in duplicate. The higher of the 2 results is reported,117991,RT-qPCR - N1
08/03/2021,08/04/2021,Tallman Island,TI,4676.00,2090000.00,,457817,RT-qPCR - N1
08/03/2021,08/04/2021,Wards Island,WI,7767.00,4260000.00,,1173448,RT-qPCR - N1
08/08/2021,08/09/2021,26th Ward,26W,10497.00,9020000.00,,318262,RT-qPCR - N1
08/08/2021,08/09/2021,Bowery Bay,BB,12590.00,7010000.00,,894311,RT-qPCR - N1
08/08/2021,08/09/2021,Coney Island,CI,15368.00,6990000.00,,647635,RT-qPCR - N1
08/08/2021,08/09/2021,Hunts Point,HP,10258.00,7090000.00,,781885,RT-qPCR - N1
08/08/2021,08/09/2021,Jamaica Bay,JA,11013.00,5120000.00,,735054,RT-qPCR - N1
08/08/2021,08/09/2021,Newtown Creek,NC,9206.00,6900000.00,,1227810,RT-qPCR - N1
08/08/2021,08/09/2021,North River,NR,18971.00,11300000.00,,649549,RT-qPCR - N1
08/08/2021,08/09/2021,Oakwood Beach,OB,14367.00,5860000.00,,243910,RT-qPCR - N1
08/08/2021,08/09/2021,Owls Head,OH,51863.00,23800000.00,,923524,RT-qPCR - N1
08/08/2021,08/09/2021,Port Richmond,PR,10123.00,4740000.00,,224516,RT-qPCR - N1
08/08/2021,08/09/2021,Red Hook,RH,14376.00,5830000.00,,257556,RT-qPCR - N1
08/08/2021,08/09/2021,Rockaway,RK,3884.00,2810000.00,,117991,RT-qPCR - N1
08/08/2021,08/09/2021,Tallman Island,TI,6545.00,4020000.00,This sample was analyzed in duplicate. The higher of the 2 results is reported,457817,RT-qPCR - N1
08/08/2021,08/09/2021,Wards Island,WI,11793.00,7510000.00,,1173448,RT-qPCR - N1
08/10/2021,08/11/2021,26th Ward,26W,17296.00,17800000.00,,318262,RT-qPCR - N1
08/10/2021,08/11/2021,Bowery Bay,BB,18399.00,9940000.00,,894311,RT-qPCR - N1
08/10/2021,08/11/2021,Coney Island,CI,20209.00,7850000.00,,647635,RT-qPCR - N1
08/10/2021,08/11/2021,Hunts Point,HP,26519.00,19100000.00,This sample was analyzed in duplicate. The higher of the 2 results is reported,781885,RT-qPCR - N1
08/10/2021,08/11/2021,Jamaica Bay,JA,32043.00,14400000.00,,735054,RT-qPCR - N1
08/10/2021,08/11/2021,Newtown Creek,NC,7808.00,6470000.00,,1227810,RT-qPCR - N1
08/10/2021,08/11/2021,North River,NR,7424.00,5850000.00,,649549,RT-qPCR - N1
08/10/2021,08/11/2021,Oakwood Beach,OB,16392.00,7480000.00,,243910,RT-qPCR - N1
08/10/2021,08/11/2021,Owls Head,OH,26450.00,12500000.00,,923524,RT-qPCR - N1
08/10/2021,08/11/2021,Port Richmond,PR,21590.00,13700000.00,,224516,RT-qPCR - N1
08/10/2021,08/11/2021,Red Hook,RH,4184.00,2760000.00,,257556,RT-qPCR - N1
08/10/2021,08/11/2021,Rockaway,RK,9473.00,6250000.00,,117991,RT-qPCR - N1
08/10/2021,08/11/2021,Tallman Island,TI,11213.00,6420000.00,,457817,RT-qPCR - N1
08/10/2021,08/11/2021,Wards Island,WI,12465.00,8910000.00,,1173448,RT-qPCR - N1
08/15/2021,08/16/2021,26th Ward,26W,7573.00,5130000.00,,318262,RT-qPCR - N1
08/15/2021,08/16/2021,Bowery Bay,BB,16723.00,6020000.00,,894311,RT-qPCR - N1
08/15/2021,08/16/2021,Coney Island,CI,10774.00,4240000.00,,647635,RT-qPCR - N1
08/15/2021,08/16/2021,Hunts Point,HP,5386.00,3510000.00,,781885,RT-qPCR - N1
08/15/2021,08/16/2021,Jamaica Bay,JA,12665.00,4740000.00,,735054,RT-qPCR - N1
08/15/2021,08/16/2021,Newtown Creek,NC,5463.00,3060000.00,,1227810,RT-qPCR - N1
08/15/2021,08/16/2021,North River,NR,6531.00,3720000.00,This sample was analyzed in duplicate. The higher of the 2 results is reported,649549,RT-qPCR - N1
08/15/2021,08/16/2021,Oakwood Beach,OB,6563.00,2540000.00,,243910,RT-qPCR - N1
08/15/2021,08/16/2021,Owls Head,OH,9077.00,3180000.00,,923524,RT-qPCR - N1
08/15/2021,08/16/2021,Port Richmond,PR,5365.00,2240000.00,,224516,RT-qPCR - N1
08/15/2021,08/16/2021,Red Hook,RH,6511.00,2420000.00,,257556,RT-qPCR - N1
08/15/2021,08/16/2021,Rockaway,RK,3472.00,2400000.00,,117991,RT-qPCR - N1
08/15/2021,08/16/2021,Tallman Island,TI,3862.00,1660000.00,,457817,RT-qPCR - N1
08/15/2021,08/16/2021,Wards Island,WI,4265.00,3330000.00,,1173448,RT-qPCR - N1
08/17/2021,08/18/2021,26th Ward,26W,11447.00,7010000.00,,318262,RT-qPCR - N1
08/17/2021,,Bowery Bay,BB,,,No sample delivery due to logistical issue,894311,RT-qPCR - N1
08/17/2021,08/18/2021,Coney Island,CI,5362.00,2080000.00,,647635,RT-qPCR - N1
08/17/2021,,Hunts Point,HP,,,No sample delivery due to logistical issue,781885,RT-qPCR - N1
08/17/2021,08/18/2021,Jamaica Bay,JA,13556.00,4870000.00,,735054,RT-qPCR - N1
08/17/2021,08/18/2021,Newtown Creek,NC,7752.00,4570000.00,This sample was analyzed in duplicate. The higher of the 2 results is reported,1227810,RT-qPCR - N1
08/17/2021,,North River,NR,,,No sample delivery due to logistical issue,649549,RT-qPCR - N1
08/17/2021,08/18/2021,Oakwood Beach,OB,3140.00,1210000.00,,243910,RT-qPCR - N1
08/17/2021,08/18/2021,Owls Head,OH,8878.00,3230000.00,,923524,RT-qPCR - N1
08/17/2021,08/18/2021,Port Richmond,PR,7515.00,3020000.00,,224516,RT-qPCR - N1
08/17/2021,08/18/2021,Red Hook,RH,3137.00,1220000.00,,257556,RT-qPCR - N1
08/17/2021,08/18/2021,Rockaway,RK,5058.00,3180000.00,,117991,RT-qPCR - N1
08/17/2021,,Tallman Island,TI,,,No sample delivery due to logistical issue,457817,RT-qPCR - N1
08/17/2021,,Wards Island,WI,,,No sample delivery due to logistical issue,1173448,RT-qPCR - N1
08/22/2021,08/23/2021,26th Ward,26W,7229.00,11800000.00,,318262,RT-qPCR - N1
08/22/2021,08/23/2021,Bowery Bay,BB,1212.00,1230000.00,,894311,RT-qPCR - N1
08/22/2021,08/23/2021,Coney Island,CI,494.00,537000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection) - This sample was analyzed in duplicate. The higher of the 2 results is reported,647635,RT-qPCR - N1
08/22/2021,08/23/2021,Hunts Point,HP,1400.00,2320000.00,,781885,RT-qPCR - N1
08/22/2021,08/23/2021,Jamaica Bay,JA,8003.00,5790000.00,,735054,RT-qPCR - N1
08/22/2021,08/23/2021,Newtown Creek,NC,1087.00,1820000.00,,1227810,RT-qPCR - N1
08/22/2021,08/23/2021,North River,NR,1520.00,2300000.00,,649549,RT-qPCR - N1
08/22/2021,08/23/2021,Oakwood Beach,OB,2082.00,1770000.00,,243910,RT-qPCR - N1
08/22/2021,08/23/2021,Owls Head,OH,2296.00,1800000.00,,923524,RT-qPCR - N1
08/22/2021,08/23/2021,Port Richmond,PR,893.00,1420000.00,,224516,RT-qPCR - N1
08/22/2021,08/23/2021,Red Hook,RH,683.00,1010000.00,,257556,RT-qPCR - N1
08/22/2021,08/23/2021,Rockaway,RK,412.00,453000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),117991,RT-qPCR - N1
08/22/2021,08/23/2021,Tallman Island,TI,1506.00,1430000.00,,457817,RT-qPCR - N1
08/22/2021,08/23/2021,Wards Island,WI,1905.00,2560000.00,,1173448,RT-qPCR - N1
08/24/2021,08/25/2021,26th Ward,26W,7656.00,5780000.00,,318262,RT-qPCR - N1
08/24/2021,08/25/2021,Bowery Bay,BB,5450.00,2410000.00,This sample was analyzed in duplicate. The higher of the 2 results is reported,894311,RT-qPCR - N1
08/24/2021,08/25/2021,Coney Island,CI,10019.00,5780000.00,,647635,RT-qPCR - N1
08/24/2021,08/25/2021,Hunts Point,HP,7976.00,5710000.00,,781885,RT-qPCR - N1
08/24/2021,08/25/2021,Jamaica Bay,JA,11814.00,5020000.00,,735054,RT-qPCR - N1
08/24/2021,08/25/2021,Newtown Creek,NC,6328.00,4200000.00,,1227810,RT-qPCR - N1
08/24/2021,08/25/2021,North River,NR,3006.00,2000000.00,,649549,RT-qPCR - N1
08/24/2021,08/25/2021,Oakwood Beach,OB,1636.00,945000.00,,243910,RT-qPCR - N1
08/24/2021,08/25/2021,Owls Head,OH,8708.00,3380000.00,,923524,RT-qPCR - N1
08/24/2021,08/25/2021,Port Richmond,PR,7672.00,5260000.00,,224516,RT-qPCR - N1
08/24/2021,08/25/2021,Red Hook,RH,3883.00,2030000.00,,257556,RT-qPCR - N1
08/24/2021,08/25/2021,Rockaway,RK,14610.00,12800000.00,,117991,RT-qPCR - N1
08/24/2021,08/25/2021,Tallman Island,TI,2542.00,1630000.00,,457817,RT-qPCR - N1
08/24/2021,08/25/2021,Wards Island,WI,7781.00,5490000.00,,1173448,RT-qPCR - N1
08/29/2021,08/30/2021,26th Ward,26W,,,"Concentration below Method Limit of Detection - No signal in 1 out of 3 RT-qPCR wells, result is obtained by averaging signal from the two remaining RT-qPCR wells",318262,RT-qPCR - N1
08/29/2021,08/30/2021,Bowery Bay,BB,,,Concentration below Method Limit of Detection,894311,RT-qPCR - N1
08/29/2021,08/30/2021,Coney Island,CI,2222.00,1060000.00,,647635,RT-qPCR - N1
08/29/2021,08/30/2021,Hunts Point,HP,,,"Concentration below Method Limit of Detection - No signal in 1 out of 3 RT-qPCR wells, result is obtained by averaging signal from the two remaining RT-qPCR wells",781885,RT-qPCR - N1
08/29/2021,08/30/2021,Jamaica Bay,JA,7640.00,3130000.00,,735054,RT-qPCR - N1
08/29/2021,08/30/2021,Newtown Creek,NC,2489.00,1470000.00,,1227810,RT-qPCR - N1
08/29/2021,08/30/2021,North River,NR,2852.00,1900000.00,,649549,RT-qPCR - N1
08/29/2021,08/30/2021,Oakwood Beach,OB,3726.00,1920000.00,,243910,RT-qPCR - N1
08/29/2021,08/30/2021,Owls Head,OH,496.00,199000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),923524,RT-qPCR - N1
08/29/2021,08/30/2021,Port Richmond,PR,1922.00,997000.00,,224516,RT-qPCR - N1
08/29/2021,08/30/2021,Red Hook,RH,1184.00,540000.00,,257556,RT-qPCR - N1
08/29/2021,08/30/2021,Rockaway,RK,412.00,324000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),117991,RT-qPCR - N1
08/29/2021,08/30/2021,Tallman Island,TI,4044.00,1670000.00,This sample was analyzed in duplicate. The higher of the 2 results is reported,457817,RT-qPCR - N1
08/29/2021,08/30/2021,Wards Island,WI,5798.00,3530000.00,,1173448,RT-qPCR - N1
08/31/2021,09/01/2021,26th Ward,26W,3456.00,2390000.00,,318262,RT-qPCR - N1
08/31/2021,09/01/2021,Bowery Bay,BB,4842.00,1820000.00,,894311,RT-qPCR - N1
08/31/2021,09/01/2021,Coney Island,CI,4425.00,2040000.00,,647635,RT-qPCR - N1
08/31/2021,09/01/2021,Hunts Point,HP,2810.00,1600000.00,This sample was analyzed in duplicate. The higher of the 2 results is reported,781885,RT-qPCR - N1
08/31/2021,09/01/2021,Jamaica Bay,JA,8022.00,3160000.00,,735054,RT-qPCR - N1
08/31/2021,09/01/2021,Newtown Creek,NC,2314.00,1420000.00,,1227810,RT-qPCR - N1
08/31/2021,09/01/2021,North River,NR,1793.00,1250000.00,,649549,RT-qPCR - N1
08/31/2021,09/01/2021,Oakwood Beach,OB,7090.00,3150000.00,,243910,RT-qPCR - N1
08/31/2021,09/01/2021,Owls Head,OH,7670.00,2850000.00,,923524,RT-qPCR - N1
08/31/2021,09/01/2021,Port Richmond,PR,1828.00,887000.00,,224516,RT-qPCR - N1
08/31/2021,09/01/2021,Red Hook,RH,2434.00,1150000.00,,257556,RT-qPCR - N1
08/31/2021,09/01/2021,Rockaway,RK,771.00,581000.00,,117991,RT-qPCR - N1
08/31/2021,09/01/2021,Tallman Island,TI,2384.00,1100000.00,,457817,RT-qPCR - N1
08/31/2021,09/01/2021,Wards Island,WI,2017.00,1270000.00,,1173448,RT-qPCR - N1
09/07/2021,09/08/2021,26th Ward,26W,4916.00,3520000.00,,318262,RT-qPCR - N1
09/07/2021,09/08/2021,Bowery Bay,BB,3775.00,1560000.00,,894311,RT-qPCR - N1
09/07/2021,09/08/2021,Coney Island,CI,9243.00,4610000.00,,647635,RT-qPCR - N1
09/07/2021,09/08/2021,Hunts Point,HP,4443.00,3870000.00,,781885,RT-qPCR - N1
09/07/2021,09/08/2021,Jamaica Bay,JA,5254.00,2310000.00,,735054,RT-qPCR - N1
09/07/2021,09/08/2021,Newtown Creek,NC,2478.00,1570000.00,,1227810,RT-qPCR - N1
09/07/2021,09/08/2021,North River,NR,3579.00,2280000.00,This sample was analyzed in duplicate. The higher of the 2 results is reported,649549,RT-qPCR - N1
09/07/2021,09/08/2021,Oakwood Beach,OB,4495.00,2490000.00,,243910,RT-qPCR - N1
09/07/2021,09/08/2021,Owls Head,OH,4371.00,1550000.00,,923524,RT-qPCR - N1
09/07/2021,09/08/2021,Port Richmond,PR,4578.00,2610000.00,,224516,RT-qPCR - N1
09/07/2021,09/08/2021,Red Hook,RH,5279.00,2230000.00,,257556,RT-qPCR - N1
09/07/2021,09/08/2021,Rockaway,RK,3371.00,2540000.00,,117991,RT-qPCR - N1
09/07/2021,09/08/2021,Tallman Island,TI,1458.00,748000.00,,457817,RT-qPCR - N1
09/07/2021,09/08/2021,Wards Island,WI,5657.00,3620000.00,,1173448,RT-qPCR - N1
09/12/2021,09/13/2021,26th Ward,26W,1550.00,1090000.00,,318262,RT-qPCR - N1
09/12/2021,09/13/2021,Bowery Bay,BB,4063.00,1650000.00,,894311,RT-qPCR - N1
09/12/2021,09/13/2021,Coney Island,CI,4423.00,2090000.00,This sample was analyzed in duplicate. The higher of the 2 results is reported,647635,RT-qPCR - N1
09/12/2021,09/13/2021,Hunts Point,HP,5088.00,3410000.00,,781885,RT-qPCR - N1
09/12/2021,09/13/2021,Jamaica Bay,JA,5590.00,2350000.00,,735054,RT-qPCR - N1
09/12/2021,09/13/2021,Newtown Creek,NC,7375.00,4350000.00,,1227810,RT-qPCR - N1
09/12/2021,09/13/2021,North River,NR,7232.00,4240000.00,,649549,RT-qPCR - N1
09/12/2021,09/13/2021,Oakwood Beach,OB,13361.00,6530000.00,,243910,RT-qPCR - N1
09/12/2021,09/13/2021,Owls Head,OH,12950.00,4870000.00,,923524,RT-qPCR - N1
09/12/2021,09/13/2021,Port Richmond,PR,6094.00,3060000.00,,224516,RT-qPCR - N1
09/12/2021,09/13/2021,Red Hook,RH,4206.00,2130000.00,,257556,RT-qPCR - N1
09/12/2021,09/13/2021,Rockaway,RK,5658.00,4260000.00,,117991,RT-qPCR - N1
09/12/2021,09/13/2021,Tallman Island,TI,7727.00,3510000.00,,457817,RT-qPCR - N1
09/12/2021,09/13/2021,Wards Island,WI,8649.00,5040000.00,,1173448,RT-qPCR - N1
09/14/2021,09/15/2021,26th Ward,26W,2088.00,1360000.00,,318262,RT-qPCR - N1
09/14/2021,09/15/2021,Bowery Bay,BB,3157.00,1240000.00,,894311,RT-qPCR - N1
09/14/2021,09/15/2021,Coney Island,CI,507.00,222000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),647635,RT-qPCR - N1
09/14/2021,09/15/2021,Hunts Point,HP,7228.00,4850000.00,,781885,RT-qPCR - N1
09/14/2021,09/15/2021,Jamaica Bay,JA,18745.00,7580000.00,,735054,RT-qPCR - N1
09/14/2021,09/15/2021,Newtown Creek,NC,4392.00,2790000.00,,1227810,RT-qPCR - N1
09/14/2021,09/15/2021,North River,NR,4983.00,3040000.00,,649549,RT-qPCR - N1
09/14/2021,09/15/2021,Oakwood Beach,OB,3921.00,1930000.00,,243910,RT-qPCR - N1
09/14/2021,09/15/2021,Owls Head,OH,18257.00,6940000.00,,923524,RT-qPCR - N1
09/14/2021,09/15/2021,Port Richmond,PR,7452.00,3620000.00,,224516,RT-qPCR - N1
09/14/2021,09/15/2021,Red Hook,RH,7717.00,3390000.00,,257556,RT-qPCR - N1
09/14/2021,09/15/2021,Rockaway,RK,1515.00,1050000.00,,117991,RT-qPCR - N1
09/14/2021,09/15/2021,Tallman Island,TI,3407.00,1460000.00,,457817,RT-qPCR - N1
09/14/2021,09/15/2021,Wards Island,WI,5626.00,3240000.00,This sample was analyzed in duplicate. The higher of the 2 results is reported,1173448,RT-qPCR - N1
09/19/2021,09/20/2021,26th Ward,26W,4272.00,2840000.00,,318262,RT-qPCR - N1
09/19/2021,09/20/2021,Bowery Bay,BB,5804.00,2230000.00,,894311,RT-qPCR - N1
09/19/2021,09/20/2021,Coney Island,CI,4158.00,1800000.00,,647635,RT-qPCR - N1
09/19/2021,09/20/2021,Hunts Point,HP,4094.00,2730000.00,This sample was analyzed in duplicate. The higher of the 2 results is reported,781885,RT-qPCR - N1
09/19/2021,09/20/2021,Jamaica Bay,JA,6291.00,2580000.00,,735054,RT-qPCR - N1
09/19/2021,09/20/2021,Newtown Creek,NC,5460.00,3290000.00,,1227810,RT-qPCR - N1
09/19/2021,09/20/2021,North River,NR,2658.00,1590000.00,,649549,RT-qPCR - N1
09/19/2021,09/20/2021,Oakwood Beach,OB,19137.00,8570000.00,,243910,RT-qPCR - N1
09/19/2021,09/20/2021,Owls Head,OH,5954.00,2260000.00,,923524,RT-qPCR - N1
09/19/2021,09/20/2021,Port Richmond,PR,4055.00,1830000.00,,224516,RT-qPCR - N1
09/19/2021,09/20/2021,Red Hook,RH,5338.00,2350000.00,,257556,RT-qPCR - N1
09/19/2021,09/20/2021,Rockaway,RK,2492.00,1800000.00,,117991,RT-qPCR - N1
09/19/2021,09/20/2021,Tallman Island,TI,3222.00,1410000.00,,457817,RT-qPCR - N1
09/19/2021,09/20/2021,Wards Island,WI,4154.00,2240000.00,,1173448,RT-qPCR - N1
09/21/2021,09/22/2021,26th Ward,26W,7441.00,4650000.00,,318262,RT-qPCR - N1
09/21/2021,09/22/2021,Bowery Bay,BB,4213.00,1640000.00,"No signal in 1 out of 3 RT-qPCR wells, result is obtained by averaging signal from the two remaining RT-qPCR wells",894311,RT-qPCR - N1
09/21/2021,09/22/2021,Coney Island,CI,5887.00,2510000.00,,647635,RT-qPCR - N1
09/21/2021,09/22/2021,Hunts Point,HP,3475.00,2180000.00,,781885,RT-qPCR - N1
09/21/2021,09/22/2021,Jamaica Bay,JA,6035.00,2380000.00,,735054,RT-qPCR - N1
09/21/2021,09/22/2021,Newtown Creek,NC,7002.00,4400000.00,,1227810,RT-qPCR - N1
09/21/2021,09/22/2021,North River,NR,4623.00,2900000.00,,649549,RT-qPCR - N1
09/21/2021,09/22/2021,Oakwood Beach,OB,7286.00,3000000.00,,243910,RT-qPCR - N1
09/21/2021,09/22/2021,Owls Head,OH,11221.00,4260000.00,,923524,RT-qPCR - N1
09/21/2021,09/22/2021,Port Richmond,PR,3837.00,1670000.00,,224516,RT-qPCR - N1
09/21/2021,09/22/2021,Red Hook,RH,5404.00,2370000.00,,257556,RT-qPCR - N1
09/21/2021,09/22/2021,Rockaway,RK,502.00,347000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),117991,RT-qPCR - N1
09/21/2021,09/22/2021,Tallman Island,TI,3718.00,1690000.00,,457817,RT-qPCR - N1
09/21/2021,09/22/2021,Wards Island,WI,5450.00,2590000.00,,1173448,RT-qPCR - N1
09/26/2021,09/27/2021,26th Ward,26W,3339.00,2170000.00,,318262,RT-qPCR - N1
09/26/2021,09/27/2021,Bowery Bay,BB,1947.00,749000.00,,894311,RT-qPCR - N1
09/26/2021,09/27/2021,Coney Island,CI,3593.00,1550000.00,,647635,RT-qPCR - N1
09/26/2021,09/27/2021,Hunts Point,HP,2625.00,1790000.00,,781885,RT-qPCR - N1
09/26/2021,09/27/2021,Jamaica Bay,JA,4120.00,1670000.00,,735054,RT-qPCR - N1
09/26/2021,09/27/2021,Newtown Creek,NC,4825.00,2800000.00,This sample was analyzed in duplicate. The higher of the 2 results is reported,1227810,RT-qPCR - N1
09/26/2021,09/27/2021,North River,NR,1178.00,698000.00,,649549,RT-qPCR - N1
09/26/2021,09/27/2021,Oakwood Beach,OB,13160.00,5950000.00,,243910,RT-qPCR - N1
09/26/2021,09/27/2021,Owls Head,OH,6795.00,2500000.00,,923524,RT-qPCR - N1
09/26/2021,09/27/2021,Port Richmond,PR,2445.00,1190000.00,,224516,RT-qPCR - N1
09/26/2021,09/27/2021,Red Hook,RH,4268.00,1660000.00,,257556,RT-qPCR - N1
09/26/2021,09/27/2021,Rockaway,RK,6153.00,4060000.00,,117991,RT-qPCR - N1
09/26/2021,09/27/2021,Tallman Island,TI,3155.00,1780000.00,,457817,RT-qPCR - N1
09/26/2021,09/27/2021,Wards Island,WI,1231.00,729000.00,,1173448,RT-qPCR - N1
09/28/2021,09/29/2021,26th Ward,26W,3853.00,2610000.00,,318262,RT-qPCR - N1
09/28/2021,09/29/2021,Bowery Bay,BB,984.00,411000.00,,894311,RT-qPCR - N1
09/28/2021,09/29/2021,Coney Island,CI,4222.00,1940000.00,,647635,RT-qPCR - N1
09/28/2021,09/29/2021,Hunts Point,HP,4540.00,3320000.00,,781885,RT-qPCR - N1
09/28/2021,09/29/2021,Jamaica Bay,JA,7067.00,2870000.00,,735054,RT-qPCR - N1
